exchange,code,name,listed_from,listed_to_exclusive,list_evidence_class,delist_evidence_class
SSE,600000,浦发银行,1999-11-10,,RETROSPECTIVE_PRIMARY,
SSE,600004,白云机场,2003-04-28,,RETROSPECTIVE_PRIMARY,
SSE,600006,东风股份,1999-07-27,,RETROSPECTIVE_PRIMARY,
SSE,600007,中国国贸,1999-03-12,,RETROSPECTIVE_PRIMARY,
SSE,600008,首创环保,2000-04-27,,RETROSPECTIVE_PRIMARY,
SSE,600009,上海机场,1998-02-18,,RETROSPECTIVE_PRIMARY,
SSE,600010,包钢股份,2001-03-09,,RETROSPECTIVE_PRIMARY,
SSE,600011,华能国际,2001-12-06,,RETROSPECTIVE_PRIMARY,
SSE,600012,皖通高速,2003-01-07,,RETROSPECTIVE_PRIMARY,
SSE,600015,华夏银行,2003-09-12,,RETROSPECTIVE_PRIMARY,
SSE,600016,民生银行,2000-12-19,,RETROSPECTIVE_PRIMARY,
SSE,600017,日照港,2006-10-17,,RETROSPECTIVE_PRIMARY,
SSE,600018,XD上港集,2000-07-19,,RETROSPECTIVE_PRIMARY,
SSE,600019,宝钢股份,2000-12-12,,RETROSPECTIVE_PRIMARY,
SSE,600020,中原高速,2003-08-08,,RETROSPECTIVE_PRIMARY,
SSE,600021,上海电力,2003-10-29,,RETROSPECTIVE_PRIMARY,
SSE,600022,山东钢铁,2004-06-29,,RETROSPECTIVE_PRIMARY,
SSE,600023,浙能电力,2013-12-19,,RETROSPECTIVE_PRIMARY,
SSE,600025,华能水电,2017-12-15,,RETROSPECTIVE_PRIMARY,
SSE,600026,中远海能,2002-05-23,,RETROSPECTIVE_PRIMARY,
SSE,600027,华电国际,2005-02-03,,RETROSPECTIVE_PRIMARY,
SSE,600028,中国石化,2001-08-08,,RETROSPECTIVE_PRIMARY,
SSE,600029,南方航空,2003-07-25,,RETROSPECTIVE_PRIMARY,
SSE,600030,中信证券,2003-01-06,,RETROSPECTIVE_PRIMARY,
SSE,600031,三一重工,2003-07-03,,RETROSPECTIVE_PRIMARY,
SSE,600032,浙江新能,2021-05-25,,RETROSPECTIVE_PRIMARY,
SSE,600033,XD福建高,2001-02-09,,RETROSPECTIVE_PRIMARY,
SSE,600035,楚天高速,2004-03-10,,RETROSPECTIVE_PRIMARY,
